Stock quote and option quote for SPY on 3/28/23 22:19:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
395.60,P,-.89,397.60, ,397.76, ,"3,000 x 5,000","62,871,680",395.77,396.49,393.69

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.52%,72.72,1.506,Q,3/17/23,461.195,348.11,"856,432,000",1

28 MAR 23  (-1)  100

29 MAR 23  (0)  100 (Weeklys)

30 MAR 23  (1)  100

31 MAR 23  (2)  100 (Quarterlys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,"2,285",--,0.00%,22.92,Q,23.56,Q,31 MAR 23,373,.05,T,.06,I,225,"6,260",34.37%,2.87%,,
,,<empty>,"3,558",--,0.00%,21.93,Q,22.57,Q,31 MAR 23,374,.05,Q,.06,I,721,"5,295",33.12%,2.96%,,
,,4,"3,161",--,0.00%,20.93,Q,21.58,Q,31 MAR 23,375,.06,T,.07,I,"3,679","76,165",32.65%,3.48%,,
,,4,"4,810",--,0.00%,19.94,Q,20.58,Q,31 MAR 23,376,.06,W,.07,I,"1,420","14,287",31.37%,3.59%,,
,,7,803,--,0.00%,18.95,Q,19.59,Q,31 MAR 23,377,.07,P,.08,I,619,"7,298",30.75%,4.15%,,
,,<empty>,723,--,0.00%,17.95,Q,18.60,Q,31 MAR 23,378,.08,Q,.09,I,"1,785","14,843",30.03%,4.73%,,
,,6,998,--,0.00%,16.96,C,17.61,Q,31 MAR 23,379,.10,P,.11,I,"1,067","12,832",29.72%,5.74%,,
,,25,"5,420",--,0.00%,15.98,C,16.63,Q,31 MAR 23,380,.11,X,.12,W,"15,908","106,481",28.80%,6.38%,,
,,12,869,--,0.00%,15.12,C,15.65,Q,31 MAR 23,381,.14,P,.15,I,"9,220","9,101",28.60%,7.87%,,
,,23,"2,816",--,0.00%,14.15,C,14.67,Q,31 MAR 23,382,.17,Q,.18,I,"5,460","11,409",28.15%,9.37%,,
